序号,公司,产品,产品代码,材料类别,条款链接,选择理由
11,PingAn平安,平安御享一生终身寿险（分红型）,2130,产品说明书；条款；现金价值；费率表,https://life.pingan.com/ilife-home/product/getPlanClausePdf?planCode=2130&versionNo=2130-1&attachmentType=1,平安2026序列分红型终身寿险，适合比较有效保额递增、保单权益和身故给付结构。
12,PingAn平安,平安盛世金越（尊享版26Ⅱ）终身寿险（分红型）,1846H,产品说明书；条款；现金价值；费率表,https://life.pingan.com/ilife-home/product/getPlanClausePdf?planCode=1846&versionNo=1846-1&attachmentType=1,平安2026序列分红型终身寿险，适合比较有效保额递增、保单权益和身故给付结构。
13,PingAn平安,平安盈尊优享（C款）终身寿险（分红型）,2129,产品说明书；条款；现金价值；费率表,https://life.pingan.com/ilife-home/product/getPlanClausePdf?planCode=2129&versionNo=2129-1&attachmentType=1,平安2026序列分红型终身寿险，适合比较有效保额递增、保单权益和身故给付结构。
14,PingAn平安,平安盛世鑫禧（2026）终身寿险（分红型）,3190,产品说明书；条款；现金价值；费率表,https://life.pingan.com/ilife-home/product/getPlanClausePdf?planCode=3190&versionNo=3190-2&attachmentType=1,平安2026序列分红型终身寿险，适合比较有效保额递增、保单权益和身故给付结构。
15,PingAn平安,平安创御享金越（2026）终身寿险（分红型）,5005,产品说明书；条款；现金价值；费率表,https://life.pingan.com/ilife-home/product/getPlanClausePdf?planCode=5005&versionNo=5005-1&attachmentType=1,平安2026序列分红型终身寿险，适合比较有效保额递增、保单权益和身故给付结构。
16,HSBC汇丰,汇丰汇传世家终身寿险（分红型）,WWC,产品说明书；条款；现金价值；费率表,https://www.hsbcinsurance.com.cn/content/dam/hsbc/insh/docs/about-us/information-disclosure/basic-information/hsbc-huichuan-shijia-whole-life-insurance-tnc.pdf,汇丰同公司分红型终身寿险，条款语言、红利实现方式和第二投保人安排可比性强。
17,HSBC汇丰,汇丰臻盈世代2025至尊版终身寿险（分红型）,PWD,产品说明书；条款；现金价值；费率表,https://www.hsbcinsurance.com.cn/content/dam/hsbc/insh/docs/products/life-stages/2025/hsbc-zhen-ying-shi-dai-2025-whole-life-insurance-supreme-edition-tnc-qrcode.pdf,汇丰同公司分红型终身寿险，条款语言、红利实现方式和第二投保人安排可比性强。
18,HSBC汇丰,汇丰臻盈世代2025尊悦版终身寿险（分红型）,PWC,产品说明书；条款；费率表,https://www.hsbcinsurance.com.cn/content/dam/hsbc/insh/docs/about-us/information-disclosure/basic-information/terms/pwc-generation-excellence-2025-premium-whole-life-insurance-terms.pdf,汇丰同公司分红型终身寿险，条款语言、红利实现方式和第二投保人安排可比性强。
19,HSBC汇丰,汇丰汇盈世代（尊享版）终身寿险（分红型）,SWC,产品说明书；条款；费率表,https://www.hsbcinsurance.com.cn/content/dam/hsbc/insh/docs/about-us/information-disclosure/basic-information/terms/swc-huiying-generation-premium-edition-whole-life-insurance-terms.pdf,汇丰同公司分红型终身寿险，条款语言、红利实现方式和第二投保人安排可比性强。
20,HSBC汇丰,汇丰汇盈世代（优享版）终身寿险（分红型）,SWD,产品说明书；条款；费率表,https://www.hsbcinsurance.com.cn/content/dam/hsbc/insh/docs/about-us/information-disclosure/basic-information/terms/swd-huiying-generation-premium-edition-whole-life-insurance-terms.pdf,汇丰同公司分红型终身寿险，条款语言、红利实现方式和第二投保人安排可比性强。
